# tobs (day), rv (cm/s)
1.475943013143777449e+01,1.029276526418392557e+01
5.185632248445747194e+01,-3.249059287763180759e+00
6.360438878212471536e+01,-1.700108753335273004e+00
8.634033088432124714e+01,-6.955230249810869125e+00
1.046478998086038672e+02,-5.988878466163186864e+00
2.799123087428177428e+02,4.491811842698901769e-01
3.027032161930821985e+02,5.343830234167499249e+00
3.092680035174004161e+02,6.473086308887705087e+00
3.194386642217655208e+02,7.339880010333093452e+00
3.368799344446402415e+02,1.237654249070352108e+01
3.809492748775522841e+02,7.930107959072777213e+00
3.860932914196202432e+02,4.327858815766996159e+00
3.977647235877346930e+02,1.437625811081100657e+00
4.006338578669470394e+02,1.084282895994360452e+00
4.146725295985705770e+02,-9.271728835113191014e-01
4.400172645322999756e+02,-3.695967346343066673e+00
4.671423455690924129e+02,-6.373664267627315638e+00
4.715027025386589230e+02,-6.368450716381577337e+00
5.220882374518662346e+02,-6.976346898853368117e+00
5.680544281933908906e+02,-6.050366999996876771e+00
5.697862986891125274e+02,-6.267611406635054117e+00
5.779592778003451485e+02,-2.262851651405442865e+00
5.833857518782082252e+02,-4.471246878319820262e+00
6.078124872499947742e+02,-3.020041449722365989e+00
6.351088682201780102e+02,-1.646300434931433854e+00
6.509942905709182241e+02,2.140575039752240283e+00
6.756855459536425315e+02,3.668134396731464797e+00
6.896083094461962446e+02,8.258289731291169389e+00
7.034738151657512617e+02,1.159576134374125189e+01
7.143913898299176708e+02,1.605189275361950507e+01
